"Firma";"Website";"Bedarf";"DL Beschreibung";"Geschäftsführung";"Gefundene E-Mails";"GF-Mail (belegt/rekonstruiert)";"Hinweis"
"Dataciders GmbH";"https://dataciders.com/";"Vielleicht";"• Beratung für Data & AI-Transformation
• Data Analytics, KI-Implementierung, Prozessautomatisierung
• Lösungen in PPM, SCM, PLM
• Ca. 1.000 Spezialisten, Partner von Microsoft, SAP, Databricks";"Dr. Gero Presser, Thomas Diezmann";"kontakt@dataciders.com";"";"Impressum: 'Geschäftsführung: Dr. Gero Presser, Thomas Diezmann'. Mail als 'kontakt(at)dataciders.com' -> dekodiert. Kein persoenliches Muster."
"Dataciders ixto GmbH";"https://www.ixto.de/";"Vielleicht";"• Beratung für Data & Analytics und Business Intelligence
• Data Science und KI-Anwendungen
• Cloud-Lösungen und BI-Optimierung
• Standorte Berlin und München";"Dr. Simon Birkholz, Christoph Espelage";"info@ixto.de";"";"Impressum: 'Vertreten durch: Dr. Simon Birkholz, Christoph Espelage'. Nur generische Mail."
"DATAlovers AG";"https://www.datalovers.com/";"Vielleicht";"• KI für Marketing und Vertrieb
• Lead Prediction, Scoring und Customer Scoring
• Business Search Engine (bearch) für Unternehmenssuche
• Erschließung von Umsatzpotenzialen in Kundendatenbanken";"Prof. Dr. Peter Gentsch (Vorstand)";"info@datalovers.com";"";"Impressum: 'Vertreten durch den Vorstand Prof. Dr. Peter Gentsch' (Aufsichtsratsvorsitzender: Michael Weinreich). Nur generische Mail."
"Datamesh GmbH";"https://www.dmesh.io/";"Vielleicht";"• Data Engineering und KI-Lösungen für Retail/E-Commerce
• Datenintegration und -pipelines (Spark, Kafka, Databricks)
• Demand Forecasting, Out-of-Stock- und Preis-Elastizitätsanalyse
• Databricks-Partner, Sitz in Würzburg";"Jorge Machado";"info@dmesh.io";"";"Impressum: 'Geschäftsführer: Jorge Machado'. Mail info@dmesh.io. Kein persoenliches Muster."
"DataSpark GmbH";"https://dataspark.de/";"Vielleicht";"• KI-gestützte Automatisierung von Geschäftsprozessen
• AI Consulting, Development und Operations
• DataSpark AI Platform mit KI-Agenten (Chat, Auto, Templates)
• Einsatz in Vertrieb, Kundenservice, Finanzen, Compliance";"Robert Drews";"kontakt@dataspark.de";"";"Impressum: 'Geschäftsführung: Herr Robert Drews'. Nur generische Mail."
"DataZoo GmbH";"https://data-zoo.de/index.html";"Vielleicht";"• Daten- und Machine-Learning-Experten zur Prozessoptimierung
• Smart Replenishment (Bestandsverwaltung), Digitalize Renting
• Forecasting-Werkzeuge
• Kunden u.a. Daimler, Schott, Festo, Kärcher";"Dr. Simon Müller, Joachim Rosskopf";"contact@data-zoo.de";"";"Aus /imprint.html: 'legally represented by the founders Dr. Simon Müller and Joachim Rosskopf'. Nur generische Mail."
"dcyphr.®";"https://dcyphr.io/";"Vielleicht";"• KI-Strategie- und Innovationsberatung aus Heidelberg
• Employer Branding und KI-gestütztes Recruiting
• AI for Business: Datenvorbereitung, Modelltraining, Integration
• Themen: Automatisierung, Physical AI, AI Defense";"Matthias Alexander Walenda";"hello@dcyphr.io";"";"Impressum: 'Geschäftsführer: Matthias Alexander Walenda'. Nur generische Mail."
"Dealcode GmbH";"https://www.dealcode.ai/";"Vielleicht";"• KI-gestützte Vertriebsautomatisierung mit autonomen AI-Agenten
• Lead-Generierung, -Anreicherung und -Scoring (B2B)
• Personalisierte Outreach-Automatisierung und CRM
• Sitz in Hamburg";"Alexander Weltzsch, Dennis Hilger";"contact@dealcode.ai, datenschutz@heydata.eu";"";"Impressum: 'Vertreten durch: Alexander Weltzsch, Dennis Hilger'. contact@dealcode.ai generisch; datenschutz@heydata.eu ist externer DSB. Kein persoenliches Muster."
"Deep Art AI GmbH";"https://www.deeparteffects.com/";"Ja";"• KI-gestützte Foto- und Videobearbeitung (Style Transfer)
• Deep-Learning-Software für Desktop und Mobile
• Upscaling, Kolorierung, Hintergrundentfernung
• API zur Integration von Bildtechnologie";"Cedric Larrat, Dieter Klomfaß";"";"";"Impressum: 'Managing directors: Cedric Larrat & Dieter Klomfaß'. E-Mail nur als Cloudflare-verschluesselter [email protected]-Platzhalter, nicht extrahierbar."
"Deep5 UG (haftungsbeschränkt)";"https://www.deep5.io/";"Vielleicht";"• KI-Agentur aus Braunschweig (gegründet 2021)
• KI-Entwicklung: Data Science, Computer Vision, NLP, RAG-Systeme
• App- und Web-Entwicklung (Flutter, Next.js)
• DSGVO-konformes Hosting von Open WebUI";"";"";"";"Website nicht erreichbar (durchgehend HTTP 525 / SSL-Handshake ueber Cloudflare fehlgeschlagen). Keine Daten belegbar."
"deepIng business solutions GmbH";"https://deeping.de/";"Vielleicht";"• Softwareentwicklung für mittelständische Fertigung
• Modulares Manufacturing Execution System (MES) 'frames'
• Data Analytics und Business Intelligence
• Prozessanalyse und Prognosen mit neuronalen Netzen";"Dr. Carsten Wagner und Alexander Röhrs";"info@deeping.de; deepIngKontakt@deeping.de";"";"Impressum deeping.de/impressum: vertreten durch Dr. Carsten Wagner und Alexander Röhrs; nur Funktionsadressen, kein Personenmuster."
"DeepL SE";"https://www.deepl.com/en/translator";"Ja";"• Anbieter KI-gestützter Übersetzung und Textoptimierung
• Eigene proprietäre LLM-Technologie für Sprache
• DeepL Pro, API und Voice für Unternehmen
• Führendes deutsches KI-Unternehmen (Köln)";"Dr. Jaroslaw Kutylowski (CEO/Vorstand)";"info@deepl.com";"";"Impressum unter deepl.com/de/publisher; nur info(at)deepl.com belegt, kein Personenmuster."
"deeplair GmbH";"https://www.deeplair.com/";"Vielleicht";"• KI-Lösungen für den Mittelstand aus Osnabrück
• Analyse von Kundenprozessen und Entwicklung eigener KI-Software
• Erfolgsbasiertes Geschäftsmodell (Beteiligung am Wertbeitrag)
• KI nur bei echtem Mehrwert";"Johannes Dittrich";"moin@deeplair.com";"";"Impressum deeplair.com/impressum; nur Funktionsadresse moin@deeplair.com."
"deeplify";"https://www.deeplify.de/";"Ja";"• KI-Plattform für sicherheitskritische Inspektionen (Bochum)
• Computer-Vision-/ML-Modelle für Ultraschall- und Bilddaten
• Automatisierung zerstörungsfreier Prüfung in Energie/Industrie
• Reduziert Prüfzeiten und Berichtsfehler deutlich";"Jan Löwer";"kontakt@deeplify.de";"";"Impressum deeplify.de/imprint; nur Funktionsadresse."
"deepset GmbH";"https://www.deepset.ai/";"Ja";"• Anbieter des Open-Source-LLM-Frameworks Haystack
• Haystack Enterprise Platform für produktionsreife LLM-/RAG-Apps
• NLP-/KI-Lösungen für Unternehmen (Siemens, Airbus u.a.)
• Berlin, gegründet 2018";"Milos Rusic, Malte Pietsch";"info@deepset.ai";"";"Impressum deepset.ai/imprint; nur info@deepset.ai."
"Deggendorf Institute of Technology";"https://www.th-deg.de/";"Vielleicht";"• Technische Hochschule Deggendorf mit Studium, Lehre und angewandter Forschung
• Fakultäten u.a. Informatik, Maschinenbau, Gesundheit, Mechatronik
• Forschungsschwerpunkte Mechatronik, Robotik und KI (Campus Cham)
• Institute für Medizintechnik, Materialanalyse, Zukunftstechnologien";"Präsident Prof. Waldemar Berg";"info@th-deg.de; web-redaktion@th-deg.de; datenschutz@th-deg.de";"";"Hochschule (Körperschaft), vertreten durch Präsident Prof. Waldemar Berg; nur Funktionsadressen."
"Deltia.ai";"https://www.deltia.ai/";"Ja";"• KI-gestützte Fabrik-Intelligence (jetzt Almetra, ehem. Deltia)
• Videoanalyse von Produktionsabläufen mit Kameras als Live-Sensoren
• Automatische Engpass- und Ursachenerkennung, agentische KI
• Eigenes Factory Data Model und selbstentwickelte CV-Modelle";"Silviu Homoceanu, Maximilian Fischer";"hi@deltia.ai";"";"Impressum deltia.ai/legal/imprint; nur Funktionsadresse hi@deltia.ai."
"Demtek GmbH";"https://www.konver.ai/";"Vielleicht";"• KI-gestützte Vertriebsautomationsplattform (Konver)
• Lead-Extraktion, KI-Lead-Scoring und Connect-Rate-Optimierung
• Identifikation von Entscheidungsträgern, Sales Battle Cards
• Eigener Scoring-Algorithmus (20+ Faktoren), CRM-Integration";"Enver Yilmaz, Murat Akkas, Deniz Akkas";"info@konver.ai; info@demtek.de";"";"Impressum konver.ai/imprint (Demtek GmbH); nur Funktionsadressen."
"DENKweit GmbH";"https://denkweit.com/de/";"Ja";"• KI-basierte visuelle Inspektion und Bildanalyse für die Industrie
• Standardsoftware DENKnet zur automatisierten Qualitätskontrolle
• Zusatzprodukte DENK-OCR, Verpixelung, Vision AI Hub
• 100% selbstentwickelte CV-/ML-Modelle und Netzarchitekturen";"Dr. Dominik Lausch, Markus Patzold, Dr. Kai Kaufmann";"info@denkweit.com; support@denkweit.de";"";"Impressum denkweit.com/de/impressum; nur Funktionsadressen."
"DeutscheKI GmbH";"https://deutscheki.de/";"Ja";"• KI-Lösungen ""Made in Germany"" On-Premise für den Mittelstand
• Fokus deutsche Spracherkennung (Open-Source ASR, SOTA-Fehlerrate)
• Lizenzierung als Dauerlizenzen ohne Cloud-Abhängigkeit
• Wartungs-, Trainings- und Update-Pakete";"";"";"";"Nicht erreichbar (HTTP 526, SSL-Fehler am Origin), auch www/http erfolglos."
"Deyan7 GmbH & Co. KG";"https://www.deyan7.de/";"Vielleicht";"• Dienstleister für produktive KI-Lösungen und agentische Workflows
• Entwicklung von AI Skills und Apps für bestehende IT-Systeme
• Identifikation von KI-Use-Cases, End-to-End-Umsetzung
• AI-Fullstack-Engineer-Modell, über 600.000 KI-Aktionen/Monat";"Marius Jeskulke und Torben Kreuder (GF des Komplementärs Deyan7 Verwaltungs GmbH)";"hello@deyan7.de";"";"Impressum deyan7.de/impressum; nur Funktionsadresse hello@deyan7.de."
"DGKI Deutsche Gesellschaft für Künstliche Intelligenz mbH";"https://www.dgki.org/";"Vielleicht";"• Entwicklung und Optimierung digitaler Lösungen mit KI
• Maßgeschneiderte Beratung und Implementierung für KMU
• Fokus digitale Geschäftsmodelle und effiziente Prozessgestaltung
• Branchenübergreifend (ohne Finanz- und Pharmasektor)";"Dr. Volkan Gizli";"support@dgki.org";"";"Impressum dgki.org/imprint; nur Funktionsadresse support@dgki.org."
"diconium data GmbH";"https://applydata.io/";"Vielleicht";"• Daten- und KI-Lösungsanbieter (applydata) mit Fokus E-Commerce
• Conversational Sales Assistant NEVO und Trustworthy AI-Chatbots
• KI-Produktsuche (Smart Search), SEO Booster
• Data & Analytics: Segmentierung, CLV, Time-Series-Forecasting";"Jasmin Eichler, Swantje Kowarsch";"applydata@diconium.com";"";"Impressum applydata.io/impressum; nur Funktionsadresse applydata@diconium.com."
"dida Datenschmiede GmbH";"http://www.datenschmiede.org/";"Ja";"• Berliner Agentur für Entwicklung maßgeschneiderter KI-Software
• Automatisierung via NLP, Computer Vision und Remote Sensing
• Eigenentwickelte ML-Algorithmen (Team mit Mathe-/Physik-PhDs)
• Kunden u.a. DWD, ESA, S-/M-Dax-Unternehmen";"Dr. Lorenz Richter, Dr. Markus Düttmann";"info@dida.do";"";"Impressum unter dida.do/legal-notice (Site umgezogen); E-Mail HTML-entity-kodiert, dekodiert zu info@dida.do."
"Die Lautmaler GmbH";"https://www.die-lautmaler.de/";"Vielleicht";"• Berliner Agentur für Conversational AI, UX-Design und Research
• Sprachgesteuerte und multimodale Services und Apps
• Voice-UI-Design, Chatbots/Voicebots, Conversation Design
• Technologien: ASR, NLU, TTS, LLMs, Generative AI";"Manja Baudis, Norbert Gocht";"impressum@die-lautmaler.de; privacy@lautmaler.de";"";"Impressum die-lautmaler.de/impressum; impressum(at) dekodiert; nur Funktionsadressen."
"Digimind GmbH";"https://www.digimindlabs.com/";"Ja";"• GreenDeepTech-Startup aus Berlin für zirkuläre Verpackungen
• KI-Software zur Optimierung von Kunststoffverpackungen (FMCG)
• KI-Design-Advisor mit sofortigem Feedback zu Designmerkmalen
• Eigene KI-Entwicklung für nachhaltiges Verpackungsdesign";"Dr. Katharina Eissing";"info@digimindlabs.com";"";"Impressum digimindlabs.com/imprint (Wix); nur info@digimindlabs.com."
"DIVISIO GmbH";"https://divis.io/";"Ja";"• Beratung und Entwicklung im Bereich ML und KI (Köln)
• Individuelle KI-Software von Konzeption bis Inbetriebnahme
• Wartung und Weiterentwicklung fertiger Implementierungen
• Schulungen/Workshops zu KI, ML und Deep Learning";"Christoph Henkelmann";"sales@divis.io";"";"Impressum divis.io/impressum; nur Funktionsadresse sales@divis.io."
"DM Technologies GmbH (Plato)";"https://www.getplato.co/";"Vielleicht";"• KI-Wachstumsplattform Plato für den B2B-Großhandel (Berlin)
• Sales-Intelligence-Add-on mit tiefer ERP-Integration
• Automatische Bestellerstellung, Up-/Cross-Selling-Analysen
• ML-Analyse von Kunden- und Auftragsdaten";"Benedikt Nolte, Matthias Heinrich Morales, Oliver Birch";"contact@platoapp.ai";"";"Site umgezogen zu platoapp.ai; Impressum platoapp.ai/imprint; nur Funktionsadresse contact@platoapp.ai."
"DNDY. Data and Design GmbH";"https://dndy.de/";"Vielleicht";"• Verbindung von Data Science und strategischem Design (Berlin)
• Entwicklung intelligenter Technologiesysteme (ML/DL)
• Data Science/Analytics und Service-Design für Innovation
• Maßgeschneiderte Daten- und KI-Lösungen, digitale Geschäftsmodelle";"Martin Burger";"martin.burger@dndy.de";"martin.burger@dndy.de";"Impressum dndy.de/impressum; persönliche GF-Mail wörtlich belegt."
"DNL Deep Neuron Lab GmbH";"https://www.dnl.ai/";"Ja";"• KI-basierte Analyse von Finanz- und Nachhaltigkeitsberichten
• Plattform Notes Auditor für Wirtschaftsprüfer (5.000+ Nutzer)
• Automatische Kennzahlen-Extraktion aus Dokumenten
• Eigene Modelle aus Image Processing (OCR) und NLP";"Andreas Schindler, Iason Georgakopoulos, Livia Jansen-Winkeln";"support@dnl.ai";"";"Imprint verbatim; nur generische Support-Mail, kein persoenliches Muster belegt."
"doubleSlash Net-Business GmbH";"https://www.doubleslash.de/";"Vielleicht";"• IT-Beratung und individuelle Softwareentwicklung (Friedrichshafen)
• Software für Marketing- und Vertriebsabteilungen
• Connected Mobility, IoT, Monetization, Data-Driven Solutions
• Kunden u.a. BMW, Deutsche Post, ZF, Porsche";"Konrad Krafft, Andreas Strobel, Patrick Schmerbach, Matthias Sekinger (Prokura)";"info@doubleSlash.de";"";"Impressum verbatim; nur info-Adresse, kein persoenliches Muster belegt."
"DYMATRIX";"https://www.dymatrix.de/";"Vielleicht";"• Plattform für Customer-Experience- und Kampagnenmanagement
• Automated Decision AI zur 1:1-Personalisierung über Kanäle
• Real-Time-Data-Plattform mit einheitlichen Kundenprofilen
• Beratung: Data Engineering, Data Science, datengetriebenes Marketing";"Thomas Dold, Stefan Oertel";"info@dymatrix.de";"";"Impressum (DYMATRIX GmbH) verbatim; nur info-Adresse."
"Ebenbuild GmbH";"https://www.ebenbuild.com/";"Ja";"• Digital-Twin-Technologie für die Lungenmedizin (Pulmonologie)
• Aerogram: klinische Entscheidungshilfe zur Simulation von Beatmungsstrategien
• Twinhale: In-silico-Plattform zur Optimierung der Arzneimittelabgabe in den Atemwegen
• Physikbasierte Modellierung kombiniert mit patientenspezifischen Bilddaten (CT)";"Dr. Kei Wieland Müller, Dr. Jonas Biehler, Dr. Karl-Robert Wichmann";"info@ebenbuild.com";"";"Impressum (/imprint) verbatim; nur info-Adresse."
"Economic AI";"https://www.economicai.com/";"Vielleicht";"• Spezialist für Causal AI und Machine Learning
• Analyse von Ursache-Wirkungs-Beziehungen in Daten
• Lösungen über Standard-ML hinaus
• Konkrete Produktdetails auf der Website begrenzt";"Martin Spindler";"";"";"Website ist reine JS-SPA, Impressuminhalt nicht abrufbar. GF Martin Spindler (Economic AI GmbH, Regensburg, HRB 16699) via Handelsregister/Northdata-Recherche, nicht vom Seiten-Impressum belegt. Keine Mail belegbar."
"EffiPy";"https://www.effipy.de/";"Vielleicht";"• Softwareentwicklung für Unternehmen (B2B)
• Erstellung maßgeschneiderter Softwarelösungen
• Fokus auf Effizienz von Geschäftsprozessen
• Nähere Angaben zu KI/Modellen auf der Website begrenzt";"Julian Beese, Linus Müller";"kontakt@effipy.de";"";"Impressum (EffiPy UG haftungsbeschränkt) verbatim aus SPA-JSON; nur kontakt-Adresse."
"Ehrenmüller GmbH";"https://www.ehrenmueller.ai/";"Ja";"• KI-Dienstleister für den Mittelstand, über 200 KI-Projekte seit 2019
• Entwicklung eigener KI-Modelle: Forecasting, Empfehlungssysteme, Bild- und Spracherkennung
• Custom Chatbots und Voicebots
• KI-Beratung, Schulungen und E-Learning (u.a. EU AI Act)";"Dr. Julia König (Geschäftsführerin)";"";"";"Impressum verbatim; E-Mail dort als '*protected email*' verschleiert und nicht auslesbar."
"elevait GmbH & Co. KG";"https://elevait.de/";"Ja";"• KI-Automatisierungsplattform (elevait suite) für Geschäftsprozesse
• Automatisierte Dokumentenverarbeitung und Dokumentenmanagement (OCR/Dokumenten-KI)
• Service-Center- und Auftragsautomatisierung (ERP)
• Branchen: Energie/Utilities, Bau, Ingenieurwesen, Healthcare";"Dr. Günther Möckesch, Dr. Martin Voigt";"info@elevait.de";"";"Impressum (/legal/impressum) verbatim; nur info-Adresse."
"ellamind GmbH";"https://ellamind.com/";"Ja";"• Entwicklung spezialisierter KI-Agenten für regulierte Branchen (Versicherung, Bank)
• elluminate: Evaluierungsplattform für KI-Agenten mit Scoring/Qualitätsprüfung
• ellarun (sichere Runtime, Audit-Trails) und ellaverse (simulierte Arbeitsumgebungen)
• Fokus EU-AI-Act, EU-Datenhoheit, modellunabhängig";"Jan Philipp Harries, Björn Plüster";"info@ellamind.com";"";"Legal Notice (/legal-notice) verbatim; nur info-Adresse."
"Emerge Tech GmbH";"https://emerge-tech.io/";"Vielleicht";"• Berliner HR-Tech-Startup (2024), KI-Agenten für Employer Branding
• Digitale Agenten 'Creative Carla' (Kampagnen) und 'Data Dana' (Kanal-Aussteuerung)
• Automatisierte Arbeitgebermarken und Recruiting-Sichtbarkeit für den Mittelstand
• Wirbt mit 40% besserem Bewerber-Matching, 87% günstiger als Agenturen";"Thomas Holl";"";"";"Website JS-SPA, Impressuminhalt nicht abrufbar (/impressum 404). GF Thomas Holl (Emerge Tech GmbH, Berlin, HRB 260187 B) via Handelsregister/Northdata-Recherche, nicht vom Seiten-Impressum belegt. Keine Mail belegbar."
"Empion GmbH";"https://empion.io/";"Vielleicht";"• Recruiting-Tech mit KI-basiertem Matching von Talenten und Unternehmen
• Kultur- und Persönlichkeitsanalyse (Cultural/Talent Analysis)
• Automatisiertes Matching auf Basis von Persönlichkeit, Fähigkeiten, Unternehmenskultur
• Kunden u.a. P&G, Personio, T-Systems, Siemens";"Dr. Annika von Mutius (Geschäftsführerin)";"info@empion.de; info@empion.io";"";"Impressum verbatim; nur info-Adressen, kein persoenliches Muster belegt."
"Empolis Information Management GmbH";"https://www.empolis.com/";"Ja";"• KI-basierte Wissensmanagement-Software für die Industrie (SaaS)
• Zentrale Wissensplattform mit KI-Informationssuche und Entscheidungsunterstützung
• Anwendungen: Customer Support, Field Service, Qualität, Produktion
• Über 300 Industriekunden (KUKA, Phoenix Contact, Vaillant)";"Eric Brabänder";"info@empolis.com; eric.brabaender@empolis.com";"eric.brabaender@empolis.com";"Persoenliche GF-Mail wörtlich im Impressum (V.i.S.d.P. Eric Brabänder) belegt."
"Korial (ehemals Energy Robotics GmbH)";"https://energy-robotics.com/";"Ja";"• Hardware-unabhängige KI-Plattform für autonome Industrieinspektion (Roboter/Drohnen)
• Roboter-Betriebssystem, cloudbasiertes Flottenmanagement, KI-Datenanalyse
• Ferninspektion in rauen Umgebungen (Öl, Gas, Petrochemie, Energie)
• Über 1 Mio. Inspektionen; Kunden Shell, BP, BASF, E.ON";"Marc Dassler, Dr. Dorian Scholz";"info@korial.com";"";"Rebrand zu Korial (korial.com); Impressum (/legal/imprint, Energy Robotics GmbH) via WebFetch verbatim; nur info-Adresse."
"engaige GmbH";"https://speedie.io/";"Ja";"• KI-Spezialist mit Expertise in NLP und Large Language Models
• Produkt Speedie: KI-gestützter AVB-/Bedingungsvergleich für Versicherungen
• Automatisierte, präzise Analyse von Versicherungsbedingungen
• Konkrete KI-Use-Cases für die Versicherungsbranche";"Thomas Heißmeyer, Stefan Raab";"hello@engaige.tech";"";"Angegebene Domain speedie.io existiert nicht mehr (DNS); Impressum von engaige.tech/impressum verbatim; nur hello-Adresse."
"engenious GmbH";"https://engenious.de/";"Vielleicht";"• Softwareingenieurbüro für individuelle Software, Cloud und KI (seit 2015)
• Eigene KI-Plattform 'engenious AI' zur LLM-Nutzung in Unternehmensprozessen
• KI-basierte Dokumentenklassifizierung
• DSGVO-konform, Hosting in Deutschland";"Dipl.-Ing. Andreas Sommer";"info@engenious.de";"";"Impressum (/rechtliches/impressum) verbatim; nur info-Adresse."
"ennoia GmbH";"https://ennoia.ai/";"Vielleicht";"• Implementierungspartner für KI und Automatisierung im Mittelstand
• Open-Source-KI-Plattform (DSGVO-konform), Hosting in Deutschland
• Zertifizierter n8n-Partner, Open-WebUI-Beratung, Workflow-Automatisierung
• Programm MENTIS: Strategie, Technologie, Enablement, Umsetzung";"Michael Pütz";"info@ennoia.ai";"";"Impressum verbatim; nur info-Adresse."
"enter ai UG (haftungsbeschränkt)";"https://www.enter-ai.de/";"Vielleicht";"• Entwicklung maßgeschneiderter KI-Agenten für Unternehmen
• Kundenservice-Automatisierung (Qualifizierung, FAQ-Beantwortung)
• Automatisierte Rechnungsprüfung per KI-Agent
• Begleitung von Konzeption über Umsetzung bis Schulung";"Philip Fürst (Vertretungsberechtigter)";"info@enter-ai.de";"";"Impressum verbatim; nur info-Adresse."
"eoda GmbH";"https://www.eoda.de/";"Vielleicht";"• Data-Science- und KI-Beratungs- und Softwarehaus (Kassel, seit 2010)
• Portfolio: Beratung, Analytics-Services, Software und Schulungen
• Predictive Analytics, Predictive Maintenance, Advanced Analytics, R
• Von Use-Case-Identifikation bis Produktivbetrieb der Modelle";"Oliver Bracht";"info@eoda.de";"";"Impressum verbatim; nur info-Adresse."
"Eraneos Analytics Germany GmbH (Ginkgo Analytics)";"https://www.ginkgo-analytics.com/";"Vielleicht";"• Data-Science- und Data-Engineering-Spezialist der Eraneos-Gruppe (Hamburg)
• Datenanalyse, Big Data, mathematische Optimierung
• Machine Learning, neuronale Netze und KI für DAX-/Fortune-500-Kunden
• Eigenes Quantum Lab für KI-Use-Cases";"Steffen Maas (Ginkgo Analytics GmbH); Claudia Schulze (bestellt 2024, Eraneos Analytics Germany GmbH)";"";"";"Website liefert nur HTTP 503/JS-SPA, Impressuminhalt nicht abrufbar. GF-Angaben via Handelsregister/Northdata-Recherche (HRB 147432 Hamburg), nicht vom Seiten-Impressum belegt. Keine Mail belegbar."
"Erium GmbH";"https://erium.de/";"Vielleicht";"• Technologieanbieter für KI-gestützte Prozessoptimierung in der Industrie (München, seit 2019)
• KI-Plattform HALerium: Erstellung von KI-Modellen ohne Data-Scientist-Kenntnisse
• Anwendung in Automobilfertigung, OEE-Optimierung, Vertriebsplanung
• Unterstützung bei ML-Einführung in Unternehmen";"Dr. Maksim Greiner, Dr. Theo Steininger";"info@erium.de";"";"Impressum abgerufen. Nur zentrale info@-Adresse belegt, kein persoenliches Muster erkennbar."
"EU-Rechnung";"https://www.eu-rechnung.de/";"Vielleicht";"• Software zur Umwandlung von PDF-Rechnungen in E-Rechnungsformate (ZUGFeRD, XRechnung)
• KI-gestützte Analyse und Extraktion von Rechnungsdaten
• Validierung und Visualisierung von E-Rechnungen, REST-API
• Zielgruppe: Selbstständige und KMU zur Erfüllung der E-Rechnungspflicht";"Nico Weinreich (Inhaber, net advisor)";"info@eu-rechnung.de";"";"Einzelunternehmen net advisor Inh. Nico Weinreich; nur info@-Adresse belegt."
"Eucon GmbH";"https://www.eucon.com/";"Vielleicht";"• Datengetriebene Lösungen für die Automobilbranche (Aftermarket, Preis- und Produktmanagement)
• Advanced Analytics mit KI und Big-Data auf über 20 Mrd. Datensätzen
• Plattform PartsPool für Ersatzteilmanagement und Preisvergleiche
• Maßgeschneiderte Marktstudien und Schulungen";"Régis Sandrin-Guillon, Natalie Jupe";"info@eucon.com; us.info@eucon.com; cn.info@eucon.com; marketing.automotive@infopro-digital.com";"";"Nur regionale info@-Adressen belegt, kein persoenliches Namensmuster ableitbar."
"EVACO GmbH";"https://www.evaco.de/";"Vielleicht";"• Beratung und Implementierung von Business-Intelligence- und Analytics-Lösungen
• Datenintegration aus CRM/ERP/Finanzsystemen, Dashboards und Reporting
• Intelligente Suche und KI-Technologien
• Reseller/Integrator von Qlik, Power BI, Tableau, Snowflake u.a.; Schulungen";"Alexander Willinek, Jens Merget";"info@evaco.de";"";"Nur info@-Adresse belegt, kein Muster erkennbar."
"evival Technologies GmbH";"https://evival.net/";"Vielleicht";"• Ingenieurbüro für Digitalisierung, KI- und Web-Entwicklung
• Entwicklung von KI-Systemen zur Automatisierung von Unternehmensprozessen
• Individuelle Softwareentwicklung, Schnittstellen, Shopware/E-Commerce
• Digitalisierungsberatung und Datenschutz für den Mittelstand";"Alexander Gehring (Inhaber/Geschäftsführer)";"info@evival.net";"";"Nur info@-Adresse belegt, kein persoenliches Muster."
"evocenta GmbH";"https://www.evocenta.com/";"Ja";"• Entwicklung der KI-Agentin EMMA AI für Unternehmen und öffentliche Verwaltung
• Eigene IHP-Technologie, beworben als rechtssicher und halluzinationsfrei
• Module für Compliance, Insight und Analytics; Automatisierung im Kundenservice
• TÜV-geprüft, ISO 27001, DSGVO- und EU-AI-Act-konform";"Uwe Kamann";"info@evocenta.com";"";"Nur info@-Adresse belegt, kein Muster erkennbar."
"ExB Labs GmbH";"https://www.exb.de/";"Ja";"• Intelligent-Document-Processing-Plattform (IDP) für automatisierte Dokumentenverarbeitung
• Maßgeschneiderte KI-Modelle zur Extraktion aus jeglichen Dokumenttypen
• Verarbeitung von Rechnungen, E-Mails, Berichten, unstrukturierten Daten
• Branchenfokus Gesundheitswesen, Versicherung, Logistik, Finance; Made in Germany";"Dr. Ramin Assadollahi, Tobias Brix";"contact@exb.de; dpo@exb.de";"";"Nur Funktionsadressen (contact@, dpo@) belegt, kein persoenliches Muster."
"Exelentic GmbH";"https://www.exelentic.com/";"Vielleicht";"• Hyperautomation und Prozessoptimierung
• Robotic Process Automation (RPA), OCR und Process Mining
• KI-gestützte Automatisierung von Routineaufgaben
• Beratung und Implementierung zur Effizienzsteigerung";"Robert Sevecke";"info@exelentic.com";"";"Nur info@-Adresse belegt, kein Muster erkennbar."
"exorbyte GmbH";"https://www.exorbyte.com/";"Vielleicht";"• Softwarehersteller für intelligentes Data Matching und Datenqualität
• High-Performance-Matching-Engine (matchmaker) für Millionen Datensätze
• Suche, Abgleich, Validierung, Erkennung und Anreicherung von Stammdaten
• Kunden in Versicherung, Behörden, Finanz, Telekommunikation, Handel";"";"office@exorbyte.com";"";"Seite leitet auf exorbyte.ai (SPA) um; Impressum-Inhalt JS-gerendert, GF nicht auslesbar. office@ aus Seiten-Shell belegt."
"Explorate AI GmbH";"http://www.explorate.ai/";"Vielleicht";"• Partner für KI- und Data-Science-Lösungen sowie Industrie 4.0
• Trainings und Beratung von Strategie bis Umsetzung
• Entwicklung von IoT-Produkten bis zur Marktreife
• Standorte in Berlin und der Schweiz";"Prof. Dr. Stephan Matzka, Felix Wendler";"welcome@explorate.ai";"";"Nur welcome@-Adresse belegt, kein persoenliches Muster."
"Explosion AI";"https://explosion.ai/";"Ja";"• Entwickler-Tools und Lösungen für KI, Machine Learning und NLP
• spaCy: führende Open-Source-NLP-Bibliothek (Python)
• Prodigy: moderne Annotationsplattform für Trainingsdaten (NER, Klassifikation, Bilder)
• Ellf: KI-Assistent für NLP-/ML-Entwicklung";"Dr. Matthew Honnibal, Ines Montani";"contact@explosion.ai";"";"Legal-Seite (SPA) via WebFetch; nur contact@-Adresse belegt."
